dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
1240,Reviewer2,Water Resources Research,10.1002/2016WR019856,"Piemonti, A.D.; Babbar-Sebens, M.; Mukhopadhyay, S.; Kleinberg, A.; Rinderer, M.; McGlynn, B.L.; van Meerveld, H.J. (2017) Groundwater similarity across a watershed derived from time-warped and flow-corrected time series. Water Resources Research. 53, 3921-3940.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"None of the raw groundwater level, precipitation, air temperature, atmospheric pressure, slope/site characterisitc data collected in the study is available. Nor are the SAGA-GIS, Matlab, or R post-processing scripts available. The matlab code is referred to in a citation (Automated alignment of chromatographic data - Thomas Skov et. al) but that pub does not have the code.",,,,,,,30,,,
830,Reviewer5,Water Resources Research,10.1002/2016WR019861,"Smith, R.G.; Knight, R.; Chen, J.; Reeves, J.A.; Zebker, H.A.; Farr, T.; Liu, Z. (2017) Estimating the permanent loss of groundwater storage in the southern San Joaquin Valley, California. Water Resources Research. 53, 2133-2148.",Not applicable - dataless paper/review paper,,,,,,,,,,2,,,
298,Reviewer1,Water Resources Research,10.1002/2016WR019864,"Antonellini, M.; Mollema, P.N.; Del Sole, L. (2017) Application of analytical diffusion models to outcrop observations: Implications for mass transport by fluid flow through fractures. Water Resources Research. 53, 5545-5566.","Some or all applicable (available, third party request, author request)",Author Request,,Supporting data may beobtained from Marco Antonellini,,,,,,,5,,,
643,Reviewer3,Water Resources Research,10.1002/2016WR019868,"Zhou, Q.; Oldenburg, C.M.; Spangler, L.H.; Birkholzer, J.T. (2017) Approximate solutions for diffusive fracture-matrix transfer: Application to storage of dissolved CO2 in fractured rocks. Water Resources Research. 53, 1746-1762.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
241,Reviewer6,Water Resources Research,10.1002/2016WR019874,"Yang, M.; Annable, M.D.; Jawitz, J.W. (2017) Forward and back diffusion through argillaceous formations. Water Resources Research. 53, 4514-4523.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
279,Reviewer4,Water Resources Research,10.1002/2016WR019887,"Knowles, J.F.; Lestak, L.R.; Molotch, N.P. (2017) On the use of a snow aridity index to predict remotely sensed forest productivity in the presence of bark beetle disturbance. Water Resources Research. 53, 4891-4906.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open","Appears that data for each figure is included in Excel files. But, no calculations or explanation in spreadsheets",,,,,,,,,,
753,Reviewer5,Water Resources Research,10.1002/2016WR019916,"Engdahl, N.B. (2017) Transient effects on confined groundwater age distributions: Considering the necessity of time-dependent simulations. Water Resources Research. 53, 7332-7348.",Not specified where they got the data/where data is,,,,,,,,,,4,,,
32,Reviewer4,Water Resources Research,10.1002/2016WR019919,"Kacimov, A.R.; Obnosov, Y.V. (2017) Analytical solution for tension-saturated and unsaturated flow from wicking porous pipes in subsurface irrigation: The Kornev-Philip legacies revisited. Water Resources Research. 53, 2542-2552.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
769,Reviewer6,Water Resources Research,10.1002/2016WR019937,"Sonnenwald, F.; Hart, J.R.; West, P.; Stovin, V.R.; Guymer, I. (2017) Transverse and longitudinal mixing in real emergent vegetation at low velocities. Water Resources Research. 53, 961-978.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
639,Reviewer2,Water Resources Research,10.1002/2016WR019949,"Li, A.; Aubeneau, A.F.; Bolster, D.; Tank, J.L.; Packman, A.I. (2017) Covariation in patterns of turbulence-driven hyporheic flow and denitrification enhances reach-scale nitrogen removal. Water Resources Research. 53, 6927-6944.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Input data for model simulations described in supplemental materials. No model files or scripts used to process model results and generate figures,,,,,,,25,,,
1052,Reviewer2,Water Resources Research,10.1002/2016WR019967,"Cai, X.; Pan, M.; Chaney, N.W.; Colliander, A.; Misra, S.; Cosh, M.H.; Crow, W.T.; Jackson, T.J.; Wood, E.F. (2017) Validation of SMAP soil moisture for the SMAPVEX15 field campaign using a hyper-resolution model. Water Resources Research. 53, 3013-3028.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request",Input data,Links to a few of the data sources are provided as citations. Model results  request to the lead author.,,,,,,,14,,,
368,Reviewer5,Water Resources Research,10.1002/2016WR019993,"Read, E.K.; Carr, L.; De Cicco, L.; Dugan, H.A.; Hanson, P.C.; Hart, J.A.; Kreft, J.; Read, J.S.; Winslow, L.A. (2017) Water quality data for national-scale aquatic research: The Water Quality Portal. Water Resources Research. 53, 1735-1745.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data,Hardware/Software requirements",,,,,,,,8,,,
241,Reviewer4,Water Resources Research,10.1002/2016WR020033,"Beamer, J.P.; Hill, D.F.; McGrath, D.; Arendt, A.; Kienholz, C. (2017) Hydrologic impacts of changes in climate and glacier extent in the Gulf of Alaska watershed. Water Resources Research. 53, 7502-7520.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Materials linked by unique and persistent identifiers,Common file format /instructions to open",,,,,,,,,,,
101,Reviewer4,Water Resources Research,10.1002/2016WR020059,"Kucala, A.; Martinez, M.J.; Wang, Y.; Noble, D.R. (2017) The influence of interfacial slip on two-phase flow in rough pores. Water Resources Research. 53, 7281-7295.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
274,Reviewer3,Water Resources Research,10.1002/2016WR020104,"Creaco, E.; Pezzinga, G.; Savic, D. (2017) On the choice of the demand and hydraulic modeling approach to WDN real-time simulation. Water Resources Research. 53, 6159-6177.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,It is a theoretical paper. The numerical results are available upon request from author.,,,,,,,5,,,
1450,Reviewer5,Water Resources Research,10.1002/2016WR020105,"Chen, X.D.; Zhang, C.K.; Paterson, D.M.; Thompson, C.E.L.; Townend, I.H.; Gong, Z.; Zhou, Z.; Feng, Q. (2017) Hindered erosion: The biological mediation of noncohesive sediment behavior. Water Resources Research. 53, 4787-4801.",Not applicable - dataless paper/review paper,,,,,,,,,,2,,,
517,Reviewer6,Water Resources Research,10.1002/2016WR020132,"Jackson-Blake, L.A.; Sample, J.E.; Wade, A.J.; Helliwell, R.C.; Skeffington, R.A. (2017) Are our dynamic water quality models too complex? A comparison of a new parsimonious phosphorus model, SimplyP, and INCA-P. Water Resources Research. 53, 5382-5399.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software","Provies GitHub of model, direcitons to run, but no data from specific study.",,,,,,,8,,,
693,Reviewer3,Water Resources Research,10.1002/2016WR020143,"Nissan, A.; Dror, I.; Berkowitz, B. (2017) Time-dependent velocity-field controls on anomalous chemical transport in porous media. Water Resources Research. 53, 3760-3769.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
251,Reviewer6,Water Resources Research,10.1002/2016WR020168,"Li, Y.J.; Kokkinaki, A.; Darve, E.F.; Kitanidis, P.K. (2017) Smoothing-based compressed state Kalman filter for joint state-parameter estimation: Applications in reservoir characterization and CO2 storage monitoring. Water Resources Research. 53, 7190-7207.",Not specified where they got the data/where data is,,,,,,,,,,4,,,
885,Reviewer5,Water Resources Research,10.1002/2016WR020190,"AÃ±el, J.A. (2017) Comment on â€œMost computational hydrology is not reproducible, so is it really science?â€ by Christopher Hutton et al.. Water Resources Research. 53, 2572-2574.",Not applicable - dataless paper/review paper,,,,,,,,,,1,,,
846,Reviewer3,Water Resources Research,10.1002/2016WR020209,"De Schepper, G.; Therrien, R.; Refsgaard, J.C.; He, X.; Kjaergaard, C.; Iversen, B.V. (2017) Simulating seasonal variations of tile drainage discharge in an agricultural catchment. Water Resources Research. 53, 3896-3920.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
403,Reviewer1,Water Resources Research,10.1002/2016WR020267,"Hooshyar, M.; Singh, A.; Wang, D. (2017) Hydrologic controls on junction angle of river networks. Water Resources Research. 53, 4073-4083.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request","Directions to run,Code/Model/Software","Input data is a mix of USGS, and public URL but they fall short by mentioning: ""the additional data used in this study can be requested from the authors",,,,,,,10,,,
343,Reviewer5,Water Resources Research,10.1002/2016WR020288,"Plumb, B.D.; Annable, W.K.; Thompson, P.J.; Hassan, M.A. (2017) The Impact of Urbanization on Temporal Changes in Sediment Transport in a Gravel Bed Channel in Southern Ontario, Canada. Water Resources Research. 53, 8443-8458.",Not specified where they got the data/where data is,,,,,,,,,,3,,,
274,Reviewer3,Water Resources Research,10.1002/2016WR020293,"SomogyvÃ¡ri, M.; Jalali, M.; Jimenez Parras, S.; Bayer, P. (2017) Synthetic fracture network characterization with transdimensional inversion. Water Resources Research. 53, 5104-5123.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
654,Reviewer5,Water Resources Research,10.1002/2016WR020299,"Lin, Y.; Le, E.B.; O'Malley, D.; Vesselinov, V.V.; Bui-Thanh, T. (2017) Large-scale inverse model analyses employing fast randomized data reduction. Water Resources Research. 53, 6784-6801.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
551,Reviewer2,Water Resources Research,10.1002/2016WR020323,"Molins, S.; Trebotich, D.; Miller, G.H.; Steefel, C.I. (2017) Mineralogical and transport controls on the evolution of porous media texture using direct numerical simulation. Water Resources Research. 53, 3645-3661.",Not specified where they got the data/where data is,,,"Nice figures. Some input data listed in manuscript text. But unclear where to get all data. Also did not find model and code to generate figures or where the code that improves on the embedded‐boundary structured‐mesh code [Molins et al., 2012; Trebotich and Graves, 2015] (mentioned in the introduction) is located",,,,,,,9,,,
1171,Reviewer2,Water Resources Research,10.1002/2016WR020358,"Babakhani, P.; Bridge, J.; Doong, R.-A.; Phenrat, T. (2017) Parameterization and prediction of nanoparticle transport in porous media: A reanalysis using artificial neural network. Water Resources Research. 53, 4564-4585.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Metadata to describe the code,Common file format /instructions to open",Spreadsheet of post-processing calculations for some species present in supplemental materials. Input data (harvested from prior studies) seem to be missing. Matlab code used to specify and run ANN is missing. Code used to generate figures is missing.,,,,,,,19,,,
1195,Reviewer5,Water Resources Research,10.1002/2017WR020362,"Engdahl, N.B.; Benson, D.A.; Bolster, D. (2017) Lagrangian simulation of mixing and reactions in complex geochemical systems. Water Resources Research. 53, 3513-3522.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data",,"I'm not familiar with the required computational resources.
(specify required computational resources (e.g., R, Fortran, Linux)",,Matlab,avail,No- Terminate,,7,,,
2137,Reviewer1,Water Resources Research,10.1002/2017WR020362,"Engdahl, N.B.; Benson, D.A.; Bolster, D. (2017) Lagrangian simulation of mixing and reactions in complex geochemical systems. Water Resources Research. 53, 3513-3522.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request","Directions to run,Code/Model/Software,Input data",Directions are not really clear. Missing how to install a key needed outside library,Yes,,,repro,Yes,No (explain why on the next question),60,"Unclear directions,Other","and how to install the PhreeqcRM library? I went to the provided PHREEQC URL site but had no clue what to exactly install. There are many things to install (e.g., GUI, Source code, Batch Versions, etc)  In installed the GUI, Batch version executable but I'm still getting this error in Matlab  Error using loadlibrary Could not find file RM_interface_C.h.  Error in loadlibrary  Error in RxnChain (line 70) loadlibrary('libphreeqcrm','RM_interface_C.h');  I googled how to install this libphreeqcrm for Matlab but with no luck.",
329,Reviewer6,Water Resources Research,10.1002/2017WR020390,"Sanderson, M.R.; Bergtold, J.S.; Heier Stamm, J.L.; Caldas, M.M.; Ramsey, S.M.; GonzÃ¡lez-Ferreras, A.M.; BarquÃ­n, J. (2017) Mapping the temporary and perennial character of whole river networks. Water Resources Research. 53, 6709-6724.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,"No links to model or data used, only desciptions.  Might be able to reproduce if I follow their disucssion.",,,,,,,6,,,
322,Reviewer1,Water Resources Research,10.1002/2017WR020418,"Bonnet, R.; BoÃ©, J.; Dayon, G.; Martin, E.; Rizzo, C.B.; de Barros, F.P.J. (2017) Minimum Hydraulic Resistance and Least Resistance Path in Heterogeneous Porous Media. Water Resources Research. 53, 8596-8613.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,"Ironic statement: ""There are no data sharing issues given that all numerical data are provided in the ﬁgures andobtained by solving the equations inthe paper. All other data for this paperare properly cited and referred to in the reference list. The numerical data are available upon request to the authors.""",,,,,,,5,,,
100,Reviewer4,Water Resources Research,10.1002/2017WR020428,"Ramirez, J.A.; Baird, A.J.; Coulthard, T.J. (2017) The effect of sampling effort on estimates of methane ebullition from peat. Water Resources Research. 53, 4158-4168.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
184,Reviewer6,Water Resources Research,10.1002/2017WR020476,"Hutton, C.; Wagener, T.; Freer, J.; Han, D.; Duffy, C.; Arheimer, B. (2017) Reply to comment by Melsen et al. on â€œMost computational hydrology is not reproducible, so is it really science?â€. Water Resources Research. 53, 2570-2571.",Not applicable - dataless paper/review paper,,,commentary on how most computational hydrology is not reproducible,,,,,,,3,,,
732,Reviewer5,Water Resources Research,10.1002/2017WR020480,"Hutton, C.; Wagener, T.; Freer, J.; Han, D.; Duffy, C.; Arheimer, B. (2017) Reply to comment by AÃ±el on â€œMost computational hydrology is not reproducible, so is it really science?â€. Water Resources Research. 53, 2575-2576.",Not applicable - dataless paper/review paper,,,,,,,,,,3,,,
206,Reviewer6,Water Resources Research,10.1002/2017WR020520,"RodrÃ­guez de Castro, A.; Radilla, G. (2017) Flow of yield stress and Carreau fluids through rough-walled rock fractures: Prediction and experiments. Water Resources Research. 53, 6197-6217.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,4,,,
15007,Reviewer3,Water Resources Research,10.1002/2017WR020554,"Severino, G.; Scarfato, M.; Comegna, A. (2017) Stochastic analysis of unsaturated steady flows above the water table. Water Resources Research. 53, 6687-6708.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,A stochastic model is developed in the paper. The data is avaialeble as supplement and mentioned in the paper,,,,,,,15,,,N/A
